PR Number,Author,Labels,PR Link
1163,Alecsis,"submission, trick or trace",https://github.com/hackclub/OnBoard/pull/1163
1162,frize317,submission,https://github.com/hackclub/OnBoard/pull/1162
1160,eshangonemad,"submission, trick or trace",https://github.com/hackclub/OnBoard/pull/1160
1157,udu3324,"submission, trick or trace",https://github.com/hackclub/OnBoard/pull/1157
1156,Turpel,submission,https://github.com/hackclub/OnBoard/pull/1156
1155,shim-sham,"submission, trick or trace",https://github.com/hackclub/OnBoard/pull/1155
1154,AkashGir,submission,https://github.com/hackclub/OnBoard/pull/1154
1151,nathaniellaurent,submission,https://github.com/hackclub/OnBoard/pull/1151
1147,saumilthecode,"submission, trick or trace",https://github.com/hackclub/OnBoard/pull/1147
1146,radeeyate,submission,https://github.com/hackclub/OnBoard/pull/1146
1145,luteron6,submission,https://github.com/hackclub/OnBoard/pull/1145
1144,Mirrrek,submission,https://github.com/hackclub/OnBoard/pull/1144
1138,ouo314,submission,https://github.com/hackclub/OnBoard/pull/1138
1136,blue-clouds4,submission,https://github.com/hackclub/OnBoard/pull/1136
1125,anshzera,submission,https://github.com/hackclub/OnBoard/pull/1125
1124,Doggedwings,submission,https://github.com/hackclub/OnBoard/pull/1124
1123,soapy75,submission,https://github.com/hackclub/OnBoard/pull/1123
1122,Suya1671,"submission, onboard live",https://github.com/hackclub/OnBoard/pull/1122
1116,GaoYeGithub,submission,https://github.com/hackclub/OnBoard/pull/1116
1115,Marc-Blanco,submission,https://github.com/hackclub/OnBoard/pull/1115
1112,SmartDude1569,submission,https://github.com/hackclub/OnBoard/pull/1112
1111,Mitang321,submission,https://github.com/hackclub/OnBoard/pull/1111
1109,michellemeng06,submission,https://github.com/hackclub/OnBoard/pull/1109
1108,MrGolddev,submission,https://github.com/hackclub/OnBoard/pull/1108
1104,DevMello,submission,https://github.com/hackclub/OnBoard/pull/1104
1103,Supercolbat,submission,https://github.com/hackclub/OnBoard/pull/1103
1093,Jesse-Madden,submission,https://github.com/hackclub/OnBoard/pull/1093
1091,PetabyteBrain,submission,https://github.com/hackclub/OnBoard/pull/1091
1088,NikRom2009sigma,submission,https://github.com/hackclub/OnBoard/pull/1088
1084,kakenbutter,submission,https://github.com/hackclub/OnBoard/pull/1084
1078,Tiebe,submission,https://github.com/hackclub/OnBoard/pull/1078
1077,stygmatic,submission,https://github.com/hackclub/OnBoard/pull/1077
1075,sahitid,submission,https://github.com/hackclub/OnBoard/pull/1075
1072,AdamTuraj,"submission, onboard live",https://github.com/hackclub/OnBoard/pull/1072
1067,michellemeng06,submission,https://github.com/hackclub/OnBoard/pull/1067
1066,hyweric,submission,https://github.com/hackclub/OnBoard/pull/1066
1064,arp2019-Dev,submission,https://github.com/hackclub/OnBoard/pull/1064
1063,eyestare,submission,https://github.com/hackclub/OnBoard/pull/1063
1062,Liana24601,submission,https://github.com/hackclub/OnBoard/pull/1062
1060,AverseABFun,"submission, no hcb needed",https://github.com/hackclub/OnBoard/pull/1060
1058,OmTagdiwala,submission,https://github.com/hackclub/OnBoard/pull/1058
1056,MeMMa137,submission,https://github.com/hackclub/OnBoard/pull/1056
1054,The-Automation-Warehouse,submission,https://github.com/hackclub/OnBoard/pull/1054
1053,Ventengo1,submission,https://github.com/hackclub/OnBoard/pull/1053
